corrupted file!
s5p_l2_ch4_0017_02412.nc 2018-04-01 10:49:05
s5p_l2_ch4_0017_02413.nc 2018-04-01 12:30:35
s5p_l2_ch4_0017_02414.nc 2018-04-01 14:12:05
s5p_l2_ch4_0017_02426.nc 2018-04-02 10:30:09
s5p_l2_ch4_0017_02427.nc 2018-04-02 12:11:40
s5p_l2_ch4_0017_02428.nc 2018-04-02 13:53:10
s5p_l2_ch4_0017_02440.nc 2018-04-03 10:11:13
s5p_l2_ch4_0017_02441.nc 2018-04-03 11:52:44
s5p_l2_ch4_0017_02442.nc 2018-04-03 13:34:14
s5p_l2_ch4_0017_02455.nc 2018-04-04 11:33:49
s5p_l2_ch4_0017_02456.nc 2018-04-04 13:15:18
s5p_l2_ch4_0017_02457.nc 2018-04-04 14:56:49
s5p_l2_ch4_0017_02469.nc 2018-04-05 11:14:52
s5p_l2_ch4_0017_02470.nc 2018-04-05 12:56:22
s5p_l2_ch4_0017_02471.nc 2018-04-05 14:37:53
s5p_l2_ch4_0017_02483.nc 2018-04-06 10:55:56
s5p_l2_ch4_0017_02484.nc 2018-04-06 12:37:26
s5p_l2_ch4_0017_02485.nc 2018-04-06 14:18:57
s5p_l2_ch4_0017_02497.nc 2018-04-07 10:30:53
s5p_l2_ch4_0017_02498.nc 2018-04-07 12:18:31
s5p_l2_ch4_0017_02499.nc 2018-04-07 14:00:01
s5p_l2_ch4_0017_02511.nc 2018-04-08 10:18:04
s5p_l2_ch4_0017_02512.nc 2018-04-08 11:59:35
s5p_l2_ch4_0017_02513.nc 2018-04-08 13:41:05
s5p_l2_ch4_0017_02526.nc 2018-04-09 11:40:39
s5p_l2_ch4_0017_02527.nc 2018-04-09 13:22:09
s5p_l2_ch4_0017_02540.nc 2018-04-10 11:21:43
s5p_l2_ch4_0017_02541.nc 2018-04-10 13:03:13
s5p_l2_ch4_0017_02542.nc 2018-04-10 14:38:36
s5p_l2_ch4_0017_02554.nc 2018-04-11 11:02:46
s5p_l2_ch4_0017_02555.nc 2018-04-11 12:44:16
s5p_l2_ch4_0017_02556.nc 2018-04-11 14:25:47
s5p_l2_ch4_0017_02568.nc 2018-04-12 10:43:50
s5p_l2_ch4_0017_02569.nc 2018-04-12 12:25:20
s5p_l2_ch4_0017_02570.nc 2018-04-12 14:06:51
s5p_l2_ch4_0017_02582.nc 2018-04-13 10:24:54
s5p_l2_ch4_0017_02583.nc 2018-04-13 12:06:24
s5p_l2_ch4_0017_02584.nc 2018-04-13 13:47:55
s5p_l2_ch4_0017_02596.nc 2018-04-14 10:05:58
s5p_l2_ch4_0017_02597.nc 2018-04-14 11:47:28
s5p_l2_ch4_0017_02598.nc 2018-04-14 13:28:58
corrupted file!
s5p_l2_ch4_0017_02612.nc 2018-04-15 13:10:02
s5p_l2_ch4_0017_02613.nc 2018-04-15 14:51:32
